slected_features_pso
histogram_amp _ ch 31 _ bin 6
correlation 40_57
correlation 27_59
Max Freq _ ch 34
Variance _ ch 57
Variance _ ch 44
histogram_amp _ ch 27 _ bin 1
histogram_amp _ ch 48 _ bin 5
histogram_amp _ ch 49 _ bin 1
histogram_amp _ ch 36 _ bin 4
correlation 22_41
histogram_amp _ ch 36 _ bin 7
correlation 22_52
Power ratio (alpha) _ ch 21
correlation 25_58
histogram_amp _ ch 25 _ bin 4
Med Freq _ ch 57
Power ratio (alpha) _ ch 59
correlation 31_32
Power ratio (beta) _ ch 7
correlation 6_41
histogram_amp _ ch 54 _ bin 4
correlation 28_59
histogram_amp _ ch 1 _ bin 8
histogram_amp _ ch 24 _ bin 7
correlation 9_49
histogram_amp _ ch 20 _ bin 5
Power ratio (theta) _ ch 41
correlation 1_42
correlation 27_54
correlation 46_59
correlation 3_20
correlation 1_38
histogram_amp _ ch 7 _ bin 2
histogram_amp _ ch 24 _ bin 8
histogram_amp _ ch 58 _ bin 6
Variance _ ch 5
Power ratio (gamma) _ ch 34
Mean Freq _ ch 34
Mean Freq _ ch 42
Power ratio (theta) _ ch 24
histogram_amp _ ch 38 _ bin 6
Max Freq _ ch 35
correlation 11_52
correlation 17_27
histogram_amp _ ch 48 _ bin 7
correlation 33_52
histogram_amp _ ch 54 _ bin 6
histogram_amp _ ch 4 _ bin 1
histogram_amp _ ch 52 _ bin 8
correlation 8_41
correlation 28_44
correlation 1_34
correlation 43_50
correlation 21_34
histogram_amp _ ch 2 _ bin 4
histogram_amp _ ch 16 _ bin 4
Med Freq _ ch 40
correlation 4_39
correlation 1_36
Med Freq _ ch 17
correlation 3_18
Med Freq _ ch 24
histogram_amp _ ch 17 _ bin 10
Power ratio (alpha) _ ch 56
Med Freq _ ch 32
Med Freq _ ch 20
Power ratio (theta) _ ch 10
histogram_amp _ ch 21 _ bin 2
correlation 1_19
Mean Freq _ ch 20
Variance _ ch 52
correlation 26_51
correlation 31_34
histogram_amp _ ch 18 _ bin 5
correlation 13_47
histogram_amp _ ch 37 _ bin 2
correlation 4_13
correlation 13_30
correlation 26_45
correlation 30_42
correlation 40_42
Med Freq _ ch 21
Power ratio (theta) _ ch 39
Power ratio (alpha) _ ch 32
correlation 21_58
Power ratio (beta) _ ch 55
correlation 32_57
correlation 28_46
histogram_amp _ ch 46 _ bin 8
histogram_amp _ ch 23 _ bin 2
correlation 36_55
correlation 1_28
correlation 27_37
Mean Freq _ ch 24
correlation 8_12
correlation 19_52
correlation 25_51
correlation 18_24
Power ratio (beta) _ ch 26
correlation 32_37
correlation 26_48
correlation 6_51
Power ratio (beta) _ ch 45
correlation 36_52
correlation 8_47
Power ratio (alpha) _ ch 47
Power ratio (beta) _ ch 4
correlation 8_29
histogram_amp _ ch 2 _ bin 7
correlation 29_59
correlation 16_58
correlation 27_55
Power ratio (theta) _ ch 28
histogram_amp _ ch 16 _ bin 5
correlation 38_46
histogram_amp _ ch 27 _ bin 3
histogram_amp _ ch 18 _ bin 4
Power ratio (gamma) _ ch 20
histogram_amp _ ch 6 _ bin 8
correlation 40_47
correlation 9_52
correlation 12_53
correlation 38_39
correlation 32_36
correlation 39_42
correlation 41_47
histogram_amp _ ch 16 _ bin 7
correlation 28_37
histogram_amp _ ch 23 _ bin 6
correlation 33_37
Variance _ ch 18
correlation 21_55
correlation 25_53
correlation 20_36
correlation 22_54
Mean Freq _ ch 13
Power ratio (alpha) _ ch 53
histogram_amp _ ch 13 _ bin 4
histogram_amp _ ch 44 _ bin 5
correlation 21_39
Max Freq _ ch 22
correlation 11_12
Variance _ ch 9
correlation 14_25
correlation 20_26
correlation 5_41
histogram_amp _ ch 50 _ bin 8
histogram_amp _ ch 54 _ bin 9
correlation 40_54
histogram_amp _ ch 1 _ bin 5
histogram_amp _ ch 48 _ bin 9
correlation 38_42
correlation 23_31
histogram_amp _ ch 19 _ bin 5
histogram_amp _ ch 44 _ bin 6
correlation 45_50
Variance _ ch 25
correlation 1_33
histogram_amp _ ch 59 _ bin 6
histogram_amp _ ch 52 _ bin 5
Form Factor _ ch 34
Power ratio (alpha) _ ch 44
Power ratio (gamma) _ ch 51
histogram_amp _ ch 24 _ bin 6
correlation 39_41
correlation 17_55
Power ratio (gamma) _ ch 28
correlation 5_50
Power ratio (alpha) _ ch 40
correlation 17_20
correlation 12_44
Max Freq _ ch 18
histogram_amp _ ch 21 _ bin 10
correlation 15_51
correlation 13_36
correlation 33_50
correlation 1_26
correlation 13_24
histogram_amp _ ch 45 _ bin 3
correlation 39_53
correlation 8_37
histogram_amp _ ch 38 _ bin 5
correlation 25_46
histogram_amp _ ch 56 _ bin 1
correlation 6_38
Power ratio (gamma) _ ch 25
correlation 6_34
correlation 36_42
correlation 54_56
correlation 27_53
Power ratio (beta) _ ch 56
histogram_amp _ ch 12 _ bin 3
correlation 11_39
histogram_amp _ ch 3 _ bin 6
histogram_amp _ ch 47 _ bin 3
correlation 26_29
correlation 18_51
histogram_amp _ ch 42 _ bin 4
correlation 27_31
Power ratio (alpha) _ ch 37
histogram_amp _ ch 21 _ bin 7
correlation 12_45
histogram_amp _ ch 52 _ bin 3
correlation 18_45
correlation 31_56
correlation 37_51
histogram_amp _ ch 51 _ bin 9
histogram_amp _ ch 45 _ bin 9
Max Freq _ ch 17
correlation 23_40
histogram_amp _ ch 45 _ bin 2
Max Freq _ ch 7
Mean Freq _ ch 30
correlation 24_29
histogram_amp _ ch 22 _ bin 10
Power ratio (beta) _ ch 53
Power ratio (alpha) _ ch 22
correlation 16_47
Variance _ ch 20
correlation 12_23
correlation 30_34
histogram_amp _ ch 38 _ bin 1
histogram_amp _ ch 52 _ bin 6
histogram_amp _ ch 4 _ bin 9
correlation 3_17
Med Freq _ ch 39
correlation 2_38
correlation 35_54
correlation 19_50
Mean Freq _ ch 44
correlation 23_30
correlation 23_39
correlation 16_28
correlation 3_49
correlation 7_51
Mean Freq _ ch 48
correlation 43_57
histogram_amp _ ch 21 _ bin 8
histogram_amp _ ch 7 _ bin 3
histogram_amp _ ch 34 _ bin 6
correlation 24_31
histogram_amp _ ch 4 _ bin 8
correlation 28_50
histogram_amp _ ch 28 _ bin 2
histogram_amp _ ch 56 _ bin 4
correlation 10_44
Max Freq _ ch 48
correlation 7_52
Form Factor _ ch 6
correlation 1_37
histogram_amp _ ch 15 _ bin 8
histogram_amp _ ch 4 _ bin 7
histogram_amp _ ch 3 _ bin 8
correlation 45_51
correlation 20_37
Med Freq _ ch 48
histogram_amp _ ch 4 _ bin 10
correlation 29_41
correlation 9_43
correlation 9_36
histogram_amp _ ch 48 _ bin 10
correlation 1_15
correlation 9_24
histogram_amp _ ch 17 _ bin 4
histogram_amp _ ch 12 _ bin 2
histogram_amp _ ch 59 _ bin 4
histogram_amp _ ch 45 _ bin 8
correlation 18_47
correlation 12_57
correlation 51_55
correlation 2_53
correlation 3_52
Variance _ ch 27
correlation 29_32
Mean Freq _ ch 36
histogram_amp _ ch 15 _ bin 9
correlation 13_40
Form Factor _ ch 41
Power ratio (beta) _ ch 35
correlation 43_44
correlation 45_58
correlation 1_56
correlation 18_29
histogram_amp _ ch 57 _ bin 10
correlation 34_35
Variance _ ch 24
correlation 25_34
correlation 15_30
histogram_amp _ ch 44 _ bin 2
histogram_amp _ ch 43 _ bin 8
correlation 7_10
correlation 2_42
correlation 28_54
histogram_amp _ ch 21 _ bin 9
histogram_amp _ ch 31 _ bin 8
correlation 53_54
Power ratio (beta) _ ch 54
correlation 2_34
correlation 13_41
correlation 3_58
correlation 4_52
histogram_amp _ ch 18 _ bin 9
histogram_amp _ ch 42 _ bin 6
correlation 6_46
correlation 11_41
Power ratio (gamma) _ ch 41
